year;unrate;gdp_growth;real_income_growth;defense_spending;usd_rub;industrial_growth
2000;10,58;10;8,2;191,7;28,21;8,7
2001;8,98;5,1;6,1;247,7;29,3;2,9
2002;7,88;4,7;4,5;295,3;31,45;3,1
2003;8,21;7,3;3,3;355,7;30,61;8,9
2004;7,76;7,2;-2;430;28,74;8
2005;7,12;6,4;1,2;581,1;28,33;5,1
2006;7,06;8,2;0,7;681,8;27,05;6,3
2007;6;8,5;-0,5;831,9;25,47;6,8
2008;6,21;5,2;-4,5;1040,9;25,17;0,6
2009;8,3;-7,8;-2,4;1188,2;31,89;-10,7
2010;7,41;4,5;-1,2;1276,5;30,48;7,3
2011;6,57;4,3;4;1516;29,36;5
2012;5,48;4;4,6;1812,4;31,03;3,4
2013;5,51;1,8;0,5;2103,6;32,03;0,4
2014;5,21;0,7;5,9;2479,1;39,37;1,7
2015;5,62;-2;3;3181,4;61,95;0,2
2016;5,59;0,2;2,4;3775,3;66,33;1,8
2017;5,24;1,8;12,1;2852,3;58,07;3,7
2018;4,87;2,8;13,5;2827;63;3,5
2019;4,51;2,2;12,4;2997,4;64,66;3,4
2020;5,62;-2,7;9,9;3168,8;73,45;-2,1
2021;4,75;5,9;14,9;3573,556594;73,89;6,4
2022;3,87;-1,4;11,1;4679;67,65;0,7
2023;3,08;4,1;8,7;4981,6;86,01;4,3
2024;2,53;4,9;12;10800;94,11;5,1
2025;2,2;1;7,4;13500;82,35;1,3
